UM,REPORT
machinery and equipment,"At 11:30 a.m. on March 6, 2017, an employee was operating a cut-to-length press for a production run. As he fed a steel sheet into the machine with the equipment's coil feeder, the material became stuck on the lip of the cut-off fixture within the press. The employee grabbed the sheet with his left hand to reposition it, resulting in the amputation of the tip of one of his fingers. The incident investigation revealed that during the employee repositioning the material, he inadvertently activated the machine to continue feeding it through the machine.  This caused his finger to become caught between the material and the edge of the fixture. "
machinery and equipment,"At 11:30 a.m. on March 6, 2017, an employee was operating a cut-to-length press for a production run. As he fed a steel sheet into the machine with the equipment's coil feeder, the material became stuck on the lip of the cut-off fixture within the press.The employee grabbed the sheet with his left hand to reposition it, resulting in the amputation of the tip of one of his fingers. The incident investigation revealed that during the employee repositioning the material, he inadvertently activated the machine to continue feeding it through the machine.  This caused his finger to become caught between the material and the edge of the fixture. "
working at height,"At about 11:00 a.m. on March 6, 2017, an employee was engaged in getting measurements for mudsills to be cut and installed on the second level. After getting the measurements, the employee stepped back and fell through a 28 inch by 28 inch floor opening.  The employee landed on the ground level.  The height from the ground level to the second level is approximately 13 feet, with roughly one foot flooring. The covering for the hole was removed as part of the work process. Sheets of plywood leaning against the wall on the ground level broke the employee's fall.   The employee suffered minor injuries and was not hospitalized. "
machinery and equipment,"At 10:30 a.m. on March 6, 2017, an employee was checking the rollers on a piece of equipment for a jam, when his hand became caught. The rollers crushed four of his finger, resulting in their amputation. The employee was hospitalized and received treatment for his injury. "
working at height,"At about 10:30 a.m. on March 6, 2017, an employee was installing roofing paper before the shingles were to be installed on the roof. The employee fell from the roof. The employee suffered severe lacerations and contusions, and fractured bones,  and was hospitalized. "
machinery and equipment,"At approximately 10:18 a.m. on March 6, 2017, an employee was hand digging in a trench. A portion of the trench broke loose, pinning the employee against the trench wall. The employee was hospitalized and treated for a fractured right leg and knee. "
exposure to harmful substance,"At 9:00 p.m. on March 6, 2017, an employee was vacuuming the inside of a residence, when she experienced trouble breathing. The employee, who had a prior breathing condition, used her inhaler; however it did no help. In the meantime, the owner of the residence required to be put into a physical restraint, which urgent care clinic for treatment, where she was admitted and treated for asthma exacerbated by possible exposure to pesticide. acerbated by possible exposure to pesticide."
heavy vehicle,"At 8:00 a.m. on March 6, 2017, an employee was riding a mill elevator when he fell into the elevator shaft. The employee struck his head, sustaining a fractured skull, which he was hospitalized and received treatment. "
exposure to harmful substance,"At 8:30 a.m. on March 6, 2017, Employee #1 was using an eight foot A-frame fiberglass ladder to remove the steel top cover of the natural gas fuel filtration skid and replace the filters. The employee began to unbolt the steel top cover when it exploded and struck the employee. Employee #1 did not lock out/tag out, nor was the vessel de-energized/purged prior to removing the top cover. The employee sustained blunt force trauma to his body, causing complete amputation of both arms, killing him. "
machinery and equipment,"At 8:45 p.m. on March 6, 2017, a temporary employee was working at a facility, operating a roll sorting machine. During operation, a jam occurred. As the employee reached her right hand between two cylinders on the machine, to remove the jam, it became caught. The employee's hand and wrist were injured, which she was hospitalized and received treatment. "
machinery and equipment,"At 7:30 a.m. on March 6, 2017, an employee and a coworker were testing a newly installed actuator on a dust collector. Unaware that the employee had his right index finger pressing on a rubber seal belonging to the actuator, the coworker cycled its pneumatic cylinders. The rubber seal on which the employee's finger was located between two metal rings that closed when the equipment cycled and amputated the tip of his finger. The equipment operated between 95 and 100 p.s.i. when cycled. "
handling heavy/sharp object/material,"At 4:30 p.m. on March 6, 2017, an employee was removing panels of sheet metal from a surface. During removal, one of the panels turned crooked. As the employee worked to straighten out the panel, it slipped and sliced one of his pinky fingers, resulting in its amputation. "
machinery and equipment,"At 4:15 p.m. on March 6, 2017, an employee was operating a plodder machine with a rotating auger that was used to recycle bars of soap. During operation, the employee placed his hand under the machine's guard to remove a plastic dust cover. His hand contacted the rotating auger, amputating the tip of his right middle finger. "
working at height,"At 3:00 p.m. on March 6, 2017, an employee was working on the roof of a two-story apartment complex, applying tar. As he was located near the unprotected side of the roof, he lost his footing and fell 19 feet to ground. The employee sustained multiple contusions and rib fractures, which he was hospitalized and received treatment for his injuries.  The incident investigation revealed that the employee was not wearing fall protection. "
preexisting medical condition,"At about 3:00 a.m. on March 6, 2017, an employee, working as a plumbing apprentice, was engaged in repairing a broken sewage pipe. The employee had a small cut on his knee area and when he kneeled in the broken sewage pipe area, his knee became infected. The infection symptoms started on the night of March 8, 2017. The employee was hospitalized and treated for infection. "
working at height,"At approximately 2:00 p.m. on March 6, 2017, an employee was working on a ladder. He fell off the ladder and 	broke his leg. The employee was hospitalized and treated for his injuries. "
working at height,"At 2:00 p.m. on March 6, 2017, an employee was working from an elevated work platform to remove a hydraulic check valve. During removal, the employee fell to a lower level and fractured his right leg, which he was hospitalized and received treatment. "
machinery and equipment,"At approximately 2:30 p.m. on March 6, 2017, workers were drilling a hole for cathode protection for corrosion control on an underground gas supply-line. The job was to replace an existing anode with a new one.	An employee was struck in the abdomen by the drilling rig, and was knocked to the ground. The employee suffered from an abdominal injury for which he was hospitalized. "
exposure to extreme temperature,"At 1:30 p.m. on March 6, 2017, an employee was assisting coworkers to troubleshoot the malfunction of a cooker machine at a rendering facility.  The employee walked downstream from the cooker to access the hatch of a chute to determine if a blockage existed. Before opening the hatch, the employee closed a gate between the cooker and the chute, and proceeded to hit the chute with a hammer to listen for a hallow sound. A hollow sound would indicate that the chute was sufficiently empty and safe to open the hatch. As the employee proceeded to open the hatch, he was sprayed with hot meat meal. The hot contents contacted the employees hand, arm, leg and stomach on his right side, resulting in second degree burns covering approximately 11percent of the employee's body.  He was hospitalized and received treatment for injuries sustained. "
working at height,"At 1:22 p.m. on March 6, 2017, Employee #1, a temporary employee, and a coworker were preparing to go up to the roof to install mesh nylon cloth around the skylights that had holes and cracks. The two employees were using a 30 foot fixed caged metal ladder located in a hatchway in the southeast corner of the warehouse section of the facility. The coworker went up on the roof via the hatchway opening, carrying all of the repair materials and tools. Employee #1 did not come up the ladder, so the coworker went back to the opening to try to see where he was. The coworker heard loud banging noises and shaking of the ladder cage, like something was hitting its walls. As the coworker looked down through the hatchway opening, Employee #1 was laying on the floor by the ladder in a pool of blood. Employee #1 had fallen approximately 25 feet through the caged 30 foot metal ladder. The coworker called for help and emergency medical services responded. Employee #1 sustained head trauma and skull fractures and was pronounced dead at the scene. Upon questioning, the employer did not provide training and instruction to Employee #1 on the safe use of ladders, climbing and working on ladders, user's position, points of contact with the ladder and factors contributing to falls. "
heavy vehicle,"At 1:15 p.m. on March 6, 2017, an employee was walking on the dirt trail with a measuring tape and shovel.   A piece of heavy equipment KOMATSU WA320-7 was carrying a 60 inch pipe that struck the employee in the head, and than ran over him.  The employee was killed. "
heavy vehicle,"At 11:00 a.m. on March 5, 2017, and employee was driving a golf cart when he struck the chassis of a trailer. The employee sustained four broken ribs, which he was hospitalized and received treatment. "
others,"At 11:45 a.m. on March 5, 2017, an employee was working on an unpressurized vessel and was to replace lining of a dump nozzle.  The employee felt chest pains and climbed down from his work station prior to performing work.  The employee was taken to a hospital by staff onsite, where he died. "
heavy vehicle,"At 10:00 a.m. on March5, 2017, an employee and coworker were conducting switching operations within the railyard of a steel mill.  The employee jumped onto the left side of a car on a stirrup and grabbed a bar while it was moving.  The employee fell from the railcar, injuring their left leg and a portion of the leg was amputated.  The employee died as a result of their injuries. "
working at height,"At 10:45 a.m. on March 5, 2017, an employee was trimming trees. After ascending a 75 foot long ladder to access a tree, measuring an approximate 100 feet tall, and climbing an additional 20 feet, the employee used a 0.5 inch diameter rope to tie himself off. As he used another rope to lower large branches to the ground, he lost his footing and fell. The employee sustained fractures to his face, arms, hands, legs, and torso, and skull, which he was hospitalized and received treatment. The incident investigation revealed that the employee was not wearing fall protection. "
machinery and equipment,"At 9:30 a.m. on March 5, 2017, Employee #1 was walking to the bathroom. A tree limb broke from a tree due to snow and high winds, and fell on the employee. Employee #1 was struck in the head and killed. "
working at height,"At 9:45 p.m. on March 5, 2017, an employee was walking on a metal platform to inspect an area. During his walk-around, he stopped near a step down to look around. Unaware of his closeness to the step down, the employee turned around and began walking again and fell. The employee fractured his right leg, which he was hospitalized and received treatment. "
machinery and equipment,"At 7:15 p.m. on March 5, 2017, an employee was clearing a jam from a bagger machine when his left index finger contacted the blade. He sustained severe lacerations to the finger, which he was hospitalized and received treatment. The incident investigation revealed that appropriate lockout/tagout procedures were not performed before removing the jam. "
machinery and equipment,"At 5:30 a.m. on March 5, 2017, an employee became stuck in oven area when the second set of doors became jammed. As the employee worked to free himself from the area, he burned one of his hands and lower forearm. He was hospitalized for his injuries. his injuries."
exposure to harmful substance,"At 4:50 p.m. on March 5, 2017, an employee was using a torch to cut off steel bolt heads.The torch, which was fueled with oxygen and acetylene, caught fire when the employee opened the oxygen hose. The flames spread to the employee's sweatshirt and undershirt resulting in burns to the left side of his chest and stomach. The employee was hospitalized and received treatment for his injuries. The incident investigation revealed that the oxygen hose had a leak, contributing to the incident. "
machinery and equipment,"At 4:15 p.m. on March 5, 2017, an employee was making adjustments to a screw machine (Acme-Gridley Multiple Spindle Bar Machine) used for the aerospace industry. Adjustments are typically conducted daily at the end of each shift in preparation for its next use. As the employee opened the machines panel and reached inside to adjust its auxiliary bolt, his right hand was pulled into the gears. His right ring finger was amputated as a result. The incident investigation revealed that the machine did not undergo lockout/tagout procedures and parts were still in motion during servicing. "
machinery and equipment,"On March 4, 2017, Employee #1 and a coworker were spraying damp proofing product on the exposed brick at the Rock Hill High School courtyard. The employees were working out of an aerial lift Genie, Serial number Z30N11-12902. The height of the courtyard was 31 feet. Once they finished that area, they were instructed to go to the other side of the building and finish that area before the end of the day. The two employees began spraying that side of the building at approximately 3:45 p.m.  At 5:30 p.m., Employee #1 entered the area on a JLG aerial lift, Model number 400S, serial number 0300165229. The employee set the lift up, facing away from the building. Employee #1 maneuvered the lift so that the basket would fit in the 11 feet by 10 feet opening. The opening had an overhead beam that came out of the building at 22 feet in height. The overhead was six feet in width by eight feet in length, leaving four feet to the end of the opening. The speed of the lift was placed in the fast (rabbit) mode. Once Employee #1 began to accelerate, the lift moved straight up. The back of Employee #1's head and neck struck the overhead steel beam.  When Employee #1 struck the beam, it pushed his body forward onto the controls, propelling the machine to keep moving upward. Employee #1 sustained crushing injuries to his head and neck, killing him. "
machinery and equipment,"At 10:00 a.m. on March 4, 2017, an employee was clearing aluminum chips from a screw conveyor that had built up, stopping the machine. Once the chips were cleaned out, the employee restarted the machine and kneeled down to visually observe the chip vacuum system. The guard was not in place and the employee's left shirt sleeve became caught on the pin of the screw conveyor. His arm was pulled into the conveyer, sustaining skin removal, tendon damage, dislocation/breakage of bones, and lacerations, which he was hospitalized and received treatment. "
working at height,"At 8:15 a.m. on March 4, 2017, an employee was accessing the steep metal roof of a 9 foot 6 inch wide by 16 foot long by 10 foot high building, to drill a hole in the roof with a cordless drill and 2.5 inch hole-saw for a plumbing vent. The employee went from the ladder to the roof,  slipped off of the roof and fell approximately 10 feet to the ground. The employee was hospitalized and treated for fractured a foot and heel. "
machinery and equipment,"At 8:25 a.m. on March 4, 2017, an employee was located on top of a conveyor unit to access oven rollers undergoing cleaning. During the cleaning process that involved the use of a hose, the hose became caught in a gap between the conveyor and the oven rollers. The hose then became wrapped around his foot, pulling both of his feet and lower legs into the gap between the oven rollers and conveyor. A coworker witnessed the incident and immediately activated the equipments E-STOP, stopping the oven rollers from rotating further, and emergency services were contacted. The employee was taken to a nearby medical facility, where he was hospitalized and received treatment for multiple fractures. "
working at height,"At 8:30 p.m. on March 4, 2017, an employee was working at a manufacturing plant over a weekend. As the employee traversing the plant floor to shutdown a conveyor in order to sweep the area, he inadvertently stepped onto a steel beam and fell to the floor. The fall initiated a chain reaction, where the employee then rolled through an opening under the conveyor, and fell another 14 feet to the concrete floor below. The employee sustained fractures to several ribs and two vertebrae, as well as bleeding on the brain, and a collapsed lung, which he was hospitalized and received treatment. "
machinery and equipment,"At 8:45 p.m. on March 4, 2017, an employee was troubleshooting a paper jam that had occurred. After performing the necessary lockout/tagout procedures, the employee used on of his hands to pry apart two parts of the machine that had become stuck together. The force of the two parts separating caused the amputation of two fingers on his right hand. of two fingers on his right hand."
machinery and equipment,"At 8:45 p.m. on March 4, 2017, an employee was operating an automated box making machine. During operation, the machine malfunctioned and became jammed. As a result, the employee bypassed an interlocked guard with a screw to reach the jam with his left hand. While removing the jam, the employee inadvertently activated the machine, causing a partial amputation of his left middle finger."
heavy vehicle,"At 5:00 p.m. on March 4, 2017, an employee was assisting in the loading of a compressor onto a forklift, when its back tire ran over his right foot. He sustained a fractured right foot, which he was hospitalized and received treatment. "
handling heavy/sharp object/material,"At 4:53 p.m. on March 4, 2017, an employee was using his hands to separate aluminum bars, when his left middle finger became caught between the bars. His finger was amputated, which he was hospitalized and received treatment. "
working at height,"At 3:30 p.m. on March 4, 2017, an employee was climbing an adjustable extension ladder when it slid out from under him. The employee fell approximately 8 feet, fracturing both his heels when he struck the ground. "
machinery and equipment,"At 12:00 p.m. on March 3, 2017, an employee was using a brake press to crimp a bar of metal to be applied to the end of a print blanket (cloth-like material used in printing operations). During operation of the press, one of his fingers was crushed, resulting in its amputation. "
working at height,"At 11:00 a.m. on March 3, 2017, a service technician was accessing a stairwell when he fell, sustaining a cut on his head, broken ribs and a ruptured spleen. He was hospitalized and treated for his injuries."
machinery and equipment,"At 11:15 a.m. on March 3, 2017, an employee was using a miter saw to cut a wood skid to a length of 24 inches. During operation, one of the employee's gloves contacted the saw blade and was pulled into the saw. One of his fingers on that hand was amputated. "
entangled work space,"At 11:50 p.m. on March 3, 2017, an employee was working to remove a roller board from a metal hook that it was hanging on. As the employee tugged on the roller board, it suddenly released from the hook and caused her to become unbalanced. The employee fell backwards, striking a linoleum floor below with her left hip. She sustained a hip fracture, which she was hospitalized and received treatment. "
working at height,"At 11:45 a.m. on March 3, 2017, an employee was using a ladder to access an exhaust fan that was attached to the ceiling to verify its rated horse power. While the employee was on the ladder, it slipped out from under him. The employee fell to the ground, striking his head on a metal L-brace that was attached to the floor. The employee sustained a concussion, laceration to his head, and fractured ribs, which he was hospitalized and received treatment. "
working at height,"At 11:30 a.m. on March 3, 2017, an employee was securing a paint can to the cab of a forklift that was located on a trailer. As he turned around to walk towards the steps of the trailer, he tripped and fell,   approximately 36 inches to the dirt ground. The employee sustained a fractured right hip, which he was hospitalized and received treatment. "
handling heavy/sharp object/material,"At 10:15 a.m. on March 3, 2017, an employee and three coworkers were performing a rope shortening operation on a freight elevator. During this process, the shackle from one of the suspension wire cables loosened, causing a section of the cable to strike the employee. He sustained a bone fracture in an unspecified area, which he was hospitalized and received treatment. "
heavy vehicle,"At 10:15 a.m. on March 3, 2017, Employee #1 was skiing to pick up a coworker's ski that had gotten away from him after a fall. As the employee transitioned from one snow type to another, he lost his balance and fell. Employee #1 tumbled about 100 yards before coming to rest against a snow ski jump. The employee sustained blunt force trauma to his head and was killed. "
handling heavy/sharp object/material,"At 10:50 a.m. on March 3, 2017, Employee #1, employed by an egg producer, was performing housekeeping inside the facility.  He was standing on a truck 9 feet high and reaching up to clean out shells on the eggshell shoot, which was 14 feet high.  Employee #1 was using his hands to clean out the shells when the tips of his right hand middle and index fingers came into contact with the rotating augur.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for the partial amputation of the two fingers.  The subsequent investigation determined that the equipment was not properly locked out. "
entangled work space,"At 10:15 p.m. on March 3, 2017, an employee working at a cranberry processing facility performing sanitation operations from the top of a commercial cranberry dryer.  Employee #1 was using a pressure washer to clean the inside of the dryer. The inside of the dryer was accessed via a 4 foot by 4 foot hinged panel. Employee #1 closed one of the panels in the crouched position and then stood up. As Employee #1 stood up, he lost his balance and fell backwards towards the hard concrete surface below. Employee #1 sustained a laceration to the head and two fractures to the left shoulder. The dryer measured approximately 140 feet long by 12 feet wide by 12.75 feet high. As a result, the employee sustained a laceration to his head and fractures to his left shoulder, which he was hospitalized and received treatment. The incident investigation revealed that the no fall protection was in use nor was the employee trained on topics such as fall protection and safe cleaning procedures. Additionally, it was the employees first time working from the top of the dryer. "
handling heavy/sharp object/material,"At 9:31 a.m. on March 3, 2017, Employee #1, employed by a manufacturer of concrete products, was preparing for die setting.  He was adjusting the height of the travelling head on a hydraulic cutting machine, THNC-2570.  He placed his left hand onto the switch located between the travelling head and the top plate and manipulated the switch to adjust the height of the travelling head from the work table.  As he engaged the switch, the travelling head moved upwards and caught his hand between the head and the plate.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a finger fracture and lacerations to the back of his hand and palm. "
entangled work space,"At 9:45 a.m. on March 3, 2017, Employee #1, employed by an aerospace systems provider, was working at her desk.  She rose and started to step away from her desk.  Her foot caught in cords hanging under the desk.  Employee #1 tripped and fell.  Emergency services were called, and Employee #1 was transported to the hospital.  She was admitted and treated for a fractured femur of her right leg. "
heavy vehicle,"At 9:30 a.m. on March 3, 2017, Employee #1, employed by a manufacturer of industrial trucks and trailers, was working at a semi trailer.  He was releasing air from the air tank of a stinger attachment.  A portion of his left hand's middle finger was pinched between the stinger and the trailer. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for the amputation of his middle fingertip. "
handling heavy/sharp object/material,"At approximately 8:00 a.m. on March 3, 2017, an employee was framing a house. He went to move a steel ""I"" beam and it tipped over the landing on his leg and broke one of his ankles. The employee was hospitalized and treated for a broken ankle. "
others,"At 3:00 p.m. on February 27, 2017, Employee #1 arrived at the jobsite to introduce his coworker, who was taking over the job, since he was scheduled to retire the next day. As the two employees ascended the fixed cement stairs located on the exterior of the building, Employee #1 fell backwards down the stairs. The employee was transported to the hospital and it was determined that he had sustained a broken shoulder, elbow, and hand.  At approximately 5:00 p.m. on March 3, 2017, Employee #1 died due to heart complications. "
machinery and equipment,"At about 5:00 p.m. on March 3, 2017, an employee was operating a machine. His foot got caught and his toe was amputated by the machine. The employee was not hospitalized. "
handling heavy/sharp object/material,"At 5:00 a.m. on March 3, 2017, Employee #1, employed by a manufacturer of various automotive and industrial products, was attempting to fix a jammed machine.  He opened a guard, reached into the machine with his left hand, and cleared the jam.  A pressurized pneumatic cylinder continued to operate and struck Employee #1's hand.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for the amputation of two fingertips and discharged.  The subsequent investigation determined that the machine was not locked out or turned off at the time of the event. "
machinery and equipment,"At 5:30 p.m. on March 3, 2017, an employee was tightening bolts on a machine when a coworker, was working to remove the wire rope rigging with an overhead crane attached. The clevise caught the machine assembly, causing it to tip over and pin the employee beneath. He sustained a fractured rib and vertebra, which he was hospitalized and received treatment. "
working at height,"At 3:35 p.m. on March 3, 2017, an employee and a coworker were cleaning and sanitizing wine making equipment. This work took place in a warehouse that was modified for the purpose of a wine cellar, which measured approximately 64 feet wide by 144 feet long.  Inside the wine cellar, the right side is used as an area to store racks of wooden wine barrels. The left side is used as an area where nine cylindrical large wine tanks are placed. These tanks have a capacity of more than 1,000 gallons each and range from a height of 8 feet to 10 feet tall. While the coworker was located in the sanitation area located at the far end left corner of the warehouse, sanitizing a pump, the employee was standing on top of one of the nine wine tanks, which he accessed by way of a 6 foot tall stepladder, to rinse its insides out. As the employee stepped from the tank to the stepladder, his foot slipped and he fell backwards. The employee struck the warehouse floor, sustaining fractures to his back, neck and elbow.  Emergency services were contacted and, upon arrival, the employee was taken to a nearby medical facility where he was hospitalized for sixteen days and received treatment. "
working at height,"At about 1:15 p.m. on March 3, 2017, an employee and a foreman were attempting to move a truss. There was a steel truss located at the north side of the building, resting on steel beams located 17 feet 2 inches above concrete.  The truss needed to be installed on the south side of the building so the employee and the foreman were in the process of moving the truss from one point to another.  The employees utilized a come-along to slide the truss along the top of the beams to a point within reach of the crane, so it could then be hoisted into position.  The foreman and the employee climbed to the top of the beams to continue moving the truss.  The employee was wearing a body harness but did not connect it to the structure. The employee fell 17 feet 2 inches to the concrete floor.  Hef landed on his right side at initial impact and his head subsequently hit the floor. The employee sustained injuries including, but not limited to, fractures to the right arm and right leg, as well as facial injuries including broken teeth and a broken nose.  The employee also sustained undefined injuries to his right shoulder, pelvis, right foot, right hip and gastrointestinal system. The employee was hospitalized and treated for his injuries. "
handling heavy/sharp object/material,"At 1:00 p.m. on March 3, 2017, an employee was assisting his employer to transfer furniture from one truck to another. As the employer was repositioning the truck intended to receive the furniture, the employee jumped from the back of the initial truck to the one under operation by the employer. The employee was crushed between the two trucks, sustaining a fractured hip, which he was hospitalized and received treatment. "
machinery and equipment,"At approximately 12:18 p.m. on March 2, 2017, Employee #1, a Process Control Technician employed by a die casting company, was working at a 1200 Ton Lester Die Casting Machine #14.  He was making adjustments to the machine in preparation for a die casting run.  During the adjustment of the fast shot end of the machine, the fast shot adjustment screw became locked with the threaded bushing.  The fast shot adjustment screw unthreaded from the cover plate.  Due to hydraulic pressure, the fast shot adjustment screw, the threaded bushing, and pop-it rod shot out of the machine and struck Employee #1's face. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures to his jaw, eye socket bone, and skull. "
exposure to electric source,"At 11:45 a.m. on March 2, 2017, Employee #1, employed by a sign manufacturer, was working with a neon sign.  He was bombarding a piece of neon sign tubing with electricity.  The milliamp meter was not registering.  Employee #1 tapped it with his hand in an attempt to get the analog mechanical needle to unstick and indicate the amperage.  The meter faulted (shorted) and caused an electric arc flash of approximately 10,000 volts or 300 milliamps.  Employee #1 received an electric shock and fell to the ground.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for the electric shock and abrasions from the fall. "
heavy vehicle,"At 11:00 a.m. on March 2, 2017, Employee #1, the owner of the company, backed the forklift onto a ramp that was connected to a trailer to inspect for leaks. While he was inspecting it, the forklift rolled forward, pinning him underneath the machine. Employee #1 sustained upper body injuries and was killed. "
machinery and equipment,"At 11:30 a.m. on March 2, 2017, Employee #1, employed by a tubular products manufacturer, was operating an unguarded Delta table saw.  He was sawing corrugated paperboard strips.  The paperboard caught on the saw blade, and Employee #1's right hand was pulled into the blade.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for amputation of his right hand's index and middle fingertips and then discharged. "
machinery and equipment,"At 9:00 a.m. on March 2, 2017, Employee #1, employed by a recycling center, was walking on a catwalk and approaching a mechanical sorting trommel and its outfeed conveyor belt.  He intended to adjust the conveyor belt tension. Employee #1 lost his footing and reached out to steady himself.  His left hand came into contact with the unguarded ingoing nip point between the trommel and a drive wheel.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures and partial amputation of three fingers. "
working at height,"At 9:00 a.m. on March 2, 2017, Employee #1, employed by a farm labor contractor, was working at a date tree farm.  He was standing on a 16 feet aluminum extension ladder and reaching to dethrone a date palm tree when he fell from the ladder, a fall height of approximately 20 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a spinal injury.  Employee #1 remained hospitalized for four days. "
machinery and equipment,"At 9:00 a.m. on March 2, 2017, an employee was walking in front of a co-worker. The employee got hit by a 12-foot fiber glass stepladder. He suffered head injuries for which he was hospitalized. "
working at height,"At 9:23 a.m. on March 2, 2017, Employee #1 was climbing a ladder and the employee fell off of the ladder. It was determined that Employee #1 had suffered a heart attack and died. "
machinery and equipment,"At 8:39 a.m. on March 2, 2017, Employee #1, employed by a tubular parts manufacturer, was removing a finished part from a CNC lathe.  As he grabbed the part, he inadvertently hit a foot control that activated a hold down ram arm.  The ram arm reclosed on the part.  Employee #1's thumb was in the pinch point.  Emergency services were called, and Employee #1 was transported to the hospital. "
machinery and equipment,"At 7:30 a.m., Employee #1, employed by a brick and tile manufacturer, was operating a strapping machine.  His finger became caught in the machine. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a finger amputation. "
machinery and equipment,"At 7:00 a.m. on March 2, 2017, Employee #1, employed by a shipyard foundry, was preheating a centrifugal casting machine in preparation for its operation. As he ignited the burners, his hand came into contact with protruding locking pins on the rotating casting sleeve.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for multiple lacerations to his right hand. "
heavy vehicle,"At 6:15 a.m. on March 2, 2017, Employee #1 and Coworker #1, employed by a die casting company, were working in the Furnace Department.  Coworker #1, a supervisor, was operating a Nissan Forklift 50 Number 13, Model Number P102A1. He was using the lift's forks to lift a furnace door from its position flat on the floor.  The door weighed approximately 1,500 pounds.  Employee #1 approached the forklift to help Coworker #1.  Employee #1 positioned himself to assist by lifting the door with his hands.  The door slipped from the forks and fell onto Employee #1's right foot.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for multiple fractures of his foot. "
heavy vehicle,"At 5:00 a.m. on March 2, 2017, Employee #1, a full-time mechanic tech, was helping a coworker get his semi-truck, a Peterbilt Motors Co., Model number 386, that was connected to a Heil Co.trailer, out of the parking lot that was covered in ice and snow. The tires appeared to be stuck due to the melting and freezing of the snow overnight. The employee pulled out a ""yard horse"" (Ottawa, 30 64356 9 89) and backed it to the DOT bumper of the trailer. Access to the front of the semi was not possible due to a security fence and charging station located in front of the semi, and another semi and trailer were located approximately 39 inches to the left. Employee #1 hooked up a tow chain (ACG70, Forged China, 3/8) to the rear axle of the trailer and the clevis of the ""yard horse"" and climbed on.  The coworker climbed into the seat of the semi. The coworker had the semi running and the clutch engaged until a ""tug"" was felt, and started to apply pressure to the gas pedal to assist in the tow.  After a few minutes, the semi and trailer stopped.  The coworker was unable to see Employee #1 and got out of the semi to locate him.  After walking a short distance toward the building, the coworker saw that Employee #1 was pinned between the DOT bumper and the ""yard horse"".  The coworker quickly flagged down two other drivers for assistance. The vehicles were moved apart and CPR was started and continued until Employee #1 arrived at the hospital. The employee was pronounced dead at the hospital. "
handling heavy/sharp object/material,"At about 4:00 p.m. on March 2, 2017, an employee cut a piece of Tyvec to be installed. While carrying the piece of Tyvec, the employee stepped into a floor opening and fell between the three stringers for the stairs. The employee landed on the concrete floor and a piece of lumber. He broke three ribs, fractured a hip and was bleeding internally. He was hospitalized and his spleen was removed. "
handling heavy/sharp object/material,"At 4:25 a.m. on March 2, 2017, Employee #1, employed by a farm equipment manufacturer, was moving a rolling cart/table into his work area.  The cart was loaded with metal tubing.  The tubing shifted, and one piece rolled onto his right thumb, crushing it.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for the amputation of the tip of his right thumb and discharged. "
heavy vehicle,"At 4:15 p.m. on March 2, 2017, Employee #1 and Coworker #1, employed by a lumber company, were working in the lumber supply yard.  Coworker #1 was operating a forklift to unload railroad ties from a semi trailer.  Employee #1 walked across the supply yard to assist his coworker.  Coworker #1 backed the forklift out of the laydown area and struck Employee #1.  The rear of the forklift crushed Employee #1's right leg and ankle into the pavement. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured leg bone, a fractured and dislocated ankle, and a fractured heel.  The subsequent investigation determined that the forklift's back up alarm was not functioning at the time of the event. "
handling heavy/sharp object/material,"At 4:25 a.m. on March 2, 2017, Employee #1, employed by a farm equipment manufacturer, was moving metal tubing.  The 2 by 2 tubing, which weighed approximately 50 pounds, fell off a pallet.  It struck Employee #1's right thumb.  His thumb was caught between the tubing and a metal table.  The tip of Employee #1's thumb was crushed and amputated.  Emergency services were called, and Employee #1 was transported to the hospital, where he was treated for the finger amputation. "
handling heavy/sharp object/material,"At 3:00 p.m. on March 2, 2017, Employee #1 was holding a box containing 30 pieces of glass, each measuring 96 inches long by 72 inches wide and weighing between 40 and 60 pounds. As he tried to move from one area to another, the weight of the box caused it to fall over on him, decapitating his head and causing multiple fractures to his body, killing him. "
exposure to harmful substance,"At approximately 3:45 p.m. on March 2, 2017, an employee was trying to light the burner on the fire pit. The excess gas built up in the pit and the igniters lit the gas. The employee suffered third degree burns to the left arm and first degree burns to the face for which he was hospitalized. "
